Sat May 21 12:22:04 2022    main.stats

         3611503 function calls (3547257 primitive calls) in 40.564 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1891    0.012    0.000    0.054    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\font_manager.py:680(__init__)
        4    0.000    0.000    0.054    0.013 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:2343(_update_label_position)
        1    0.000    0.000    0.053    0.053 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\astropy\visualization\__init__.py:3(<module>)
      459    0.001    0.000    0.053    0.000 {method 'min' of 'numpy.ndarray' objects}
      459    0.000    0.000    0.052    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\_methods.py:42(_amin)
      611    0.001    0.000    0.052    0.000 {method 'max' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.051    0.013 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:2324(_get_tick_boxes_siblings)
       27    0.000    0.000    0.051    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\ma\core.py:5660(min)
      611    0.000    0.000    0.051    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\_methods.py:38(_amax)
       27    0.000    0.000    0.050    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\ma\core.py:5794(max)
        2    0.000    0.000    0.050    0.025 <__array_function__ internals>:2(std)
