Wed May 25 18:15:15 2022    qatm_pytorch.stats

         391679 function calls (384663 primitive calls) in 32.997 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.011    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1401(grid)
      844    0.004    0.000    0.011    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:766(__init__)
        1    0.000    0.000    0.011    0.011 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:278(enterEvent)
      306    0.003    0.000    0.011    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:972(update)
        1    0.000    0.000    0.011    0.011 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:1921(enter_notify_event)
      324    0.001    0.000    0.011    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2179(inverted)
     1418    0.010    0.000    0.011    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\font_manager.py:1192(score_stretch)
      164    0.001    0.000    0.011    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1710(__eq__)
     1785    0.001    0.000    0.011    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1815(inverted)
      414    0.009    0.000    0.011    0.000 {built-in method matplotlib._path.point_in_path}
     1080    0.001    0.000    0.010    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1715(transform)
      162    0.001    0.000    0.010    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:1189(format_cursor_data)
      453    0.001    0.000    0.010    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\fromnumeric.py:198(reshape)
      924    0.001    0.000    0.010    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1267(__add__)
        3    0.000    0.000    0.010    0.003 <__array_function__ internals>:2(inv)
        3    0.010    0.003    0.010    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\linalg\linalg.py:476(inv)
     6056    0.006    0.000    0.010    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1702(__init__)
     1082    0.002    0.000    0.009    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1794(transform_affine)
      828    0.002    0.000    0.009    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2387(__init__)
